id,title,type,institution,country,year,matched_variant
/199/item_FFZPLXYECEUWEQV7OUNR6WAJSMW5HQOS,"Krebs, auf dem Rücken liegend",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_FK6SCRQJCTDHXB6J626MEJI2DHUZ5NUK,Frau neben einer Wiege,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_FN7XDBMUFMIBGG3OZW2PHKNWOVHCEN4D,Wheat field with poppies and a lark,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_FP4YJWNRKMNOA6AU4ISX7WL5EOQRSAGD,Die Umgebung von Auvers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_FWWFONU4W6STAPQBA6YI66HV4UBJR4CD,Entrance of a restaurant in Asnières,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_GD3SBGYFIOQMRYKIYOTRLOTF7V4V3F64,Bauer beim Mähen mit Sichel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_GLW67CZ2WFBUUIB53UFNKNZNPUZ2QYJJ,Street in Montmartre,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_GN4U4W2BS3Q4ZOBOGMWQ3653O4OHBBHF,Stilleben mit Blumen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_GNLQKIJ22PRBCO24IX2WWEOSE3BVOYNP,Der Säemann,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_GXUZR3XKHIPE5BOY7BSP3GEU72Q6T3YU,Still Life with Potatoes,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_H66EWHJIJSJC7FRBK75PGRXJEW7YUARF,Bauernfriedhof in Nuenen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_H6OB4W5VGRIUIT77JZVB6J73B4ED3FSO,Vier Sonnenblumenblüten,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_HBKDWW2UZLYZGAFHAHHHHXAENLP665TH,Weg mit Zypressen unter dem Sternenhimmel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_HHJT6HB4HP6KLILMT7YZU63VNQFTRUWM,Farmer harvesting with sickle,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_HKN37AT7OX233DM4S2JAIFYHGEZQYZ6T,Sämann vor untergehender Sonne,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_HVK2YTSX3YVRJ77ROIW5KWPOHZOFNJIB,Blühender Kastanienbaum,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ID7UE2OM46CBS57VDYRYMENV2BQXF3FU,The load carriers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_IDCSNPDFE5AZBUEU4KET4X6654LCWFYE,Garden on the hill of Montmartre,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_IDFMPVIZN67EEWEX2V6X5WHFTG4ZLR4A,Cypresses and four fieldworkers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_IQVGWSTJESJQ2U2EIFVI5L6BCRNSZTST,Farmer converting hay or straw,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_IW4QTVCJLV4IJLEJ54LK5NU2YIAHGK4U,Der Abendspaziergang,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_IWAWWEUM3A24MNO3MP5VRJPVULXUZ3Q5,Versteigerung von Kreuzen in der Nähe des alten Turmes bei Nuenen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
